Name,Category,Neighborhood,Address,Link,From RAI,Why it is good,Dietary notes, Tips
Fromagerie Abraham Kef,Food,City Center,Marnixstraat 192B, 1016 TJ Amsterdam,https://goo.gl/maps/Qs9p8o5xG5C2,~20 min by tram,Artisanal cheeses and wine pairings,None,Call ahead for tasting reservations
Dutch Courage,Drinks,City Center,Zeedijk 12, 1012 AK Amsterdam,https://goo.gl/maps/xvg4t6iAbMH2,~25 min by tram,Gin-focused cocktail bar,None,Try the genever tasting
Pesca Seafood Restaurant,Food,Jordaan,Rozengracht 133, 1016 LV Amsterdam,https://goo.gl/maps/mivjPVyLEeP2,~25 min by tram,Interactive “theater of fish” seafood dining,None,Reservations recommended
d’Vijff Vlieghen (The Five Flies),Food,City Center,Spuistraat 294-302, 1012 VX Amsterdam,https://goo.gl/maps/fm9aPBxWbbB2,~20 min by tram,Historic restaurant serving Dutch cuisine,None,Look for the Rembrandt etchings on the walls
Pancakehouse Upstairs,Food,City Center,Grimburgwal 2, 1012 GA Amsterdam,https://goo.gl/maps/whAPEN9yapw,~20 min by tram,Tiny upstairs spot for traditional pancakes,Vegetarian-friendly,Only four tables – go early
Dignita Hoftuin,Food,Plantage,Nieuwe Herengracht 18a, 1018 DP Amsterdam,https://goo.gl/maps/mbfHNg6uMRt,~25 min by tram,Brunch with a social mission and a garden terrace,Vegetarian and vegan options,Great for a slow morning
De Hapjeshoek,Food,Bijlmerdreef,Anton de Komplein 272, 1102 DR Amsterdam,https://goo.gl/maps/v5ZahC6JbWN2,~35 min by metro,Surinamese street food – roti, bara, and snacks,Many vegetarian options,Cash only, late-night spot
Vegan Junk Food Bar,Food,De Pijp,Marie Heinekenplein 9-10, 1072 MH Amsterdam,https://goo.gl/maps/N7Y9iG8YMQx,~15 min by tram,Creative and indulgent vegan comfort food,Vegan,Try the fries with signature sauces
SOIL Vegan Café,Food,West,Bilderdijkstraat 141, 1053 KN Amsterdam,https://goo.gl/maps/BeYwVum5nZr,~20 min by tram,Seasonal plant-based menu,Vegan,Dishes rotate often, check the board
SLA,Food,De Pijp,Ceintuurbaan 149, 1072 GB Amsterdam,https://goo.gl/maps/VKk1W4Hyv5w,~15 min by tram,Fast casual salads and bowls,Vegan and vegetarian options,Good for a quick lunch near the venue
